probe,Rval,bTau,Rs
p09,0.08,0.3748,0.50500424
p09,0.26,0.3646,0.48445147
p09,-0.29,0.2096,0.29265536
p09,0,0.3033,0.39956222
p09,-0.02,0.3485,0.46082918
p09,-0.31,0.1724,0.23347606
p09,-0.4,0.1016,0.13641294
p09,-0.42,0.1931,0.25886324
p09,-0.41,0.0733,0.1011132
p09,-0.45,0.1663,0.21987259
p09,-0.64,0.0929,0.12537392
p15,0.53,0.417,0.51583289
p15,0.25,0.4995,0.60776127
p15,0.07,0.6682,0.82146131
p15,0.09,0.569,0.72450822
p15,0.42,0.3875,0.49059602
p15,0.29,0.3456,0.41812355
p15,0.49,0.496,0.61131177
p15,0.52,0.5382,0.64822242
p15,0.29,0.5764,0.72557572
p15,0.46,0.5518,0.71386776
p15,0.48,0.4974,0.62846711
p28,-0.25,-0.0801,-0.10809136
p28,-0.23,-0.0156,-0.0250093
p28,-0.39,0.232,0.32807467
p28,-0.4,0.2118,0.30006617
p28,-0.2,0.0375,0.05982931
p28,-0.2,0.0864,0.13794569
p28,-0.14,0.072,0.10482857
p28,-0.06,0.2475,0.33767093
p36,-0.12,-0.0179,-0.01882738
p36,-0.08,0.0374,0.0553327
p36,-0.14,-0.0689,-0.09059584
p36,-0.11,-0.0533,-0.06626621
p36,-0.13,-0.1122,-0.14936692
p36,-0.1,0.0416,0.05825406
p36,-0.14,-0.1052,-0.14371057
p36,-0.09,0.1078,0.16436417
p36,-0.09,0.1286,0.19271198
p36,-0.13,-0.0439,-0.05708295
p36,-0.12,0.0563,0.09265661
p36,-0.13,-0.1069,-0.14660025
p36,-0.1,0.0029,0.01168756
