probe;Rval;tM1;tM2;bTau;Rs
p07;0.22;0.682;0.789;0.5499;0.73861432
p07;0.27;0.722;0.826;0.6535;0.84026721
p07;0.59;0.971;0.945;0.5925;0.79729389
p07;0.44;0.675;0.765;0.5876;0.76523966
p07;0.17;0.686;0.786;0.5525;0.74949064
p07;0.40;0.738;0.820;0.5776;0.77746141
p07;0.65;0.667;0.797;0.6656;0.85329693
p07;0.41;0.891;0.922;0.5870;0.77753843
p07;0.42;0.896;0.928;0.5816;0.75977045
p07;0.32;0.756;0.645;0.6218;0.79609094
p07;0.36;0.815;0.880;0.6113;0.81327041
p07;0.34;0.793;0.845;0.5808;0.76592705
p07;0.53;0.876;0.907;0.6082;0.78516311
p07;0.22;0.751;0.816;0.5892;0.79606804
p07;0.12;0.640;0.744;0.4084;0.57080269
p07;0.17;0.624;0.713;0.4428;0.60679082
p07;0.22;0.707;0.782;0.5038;0.68285130
p07;0.07;0.581;0.688;0.4220;0.58276663
p09;0.07;0.866;0.816;0.4948;0.68137469
p09;0.05;0.758;0.806;0.3711;0.51809732
p09;0.21;0.831;0.825;0.5380;0.72655864
p09;0.09;0.870;0.86;0.5639;0.76249066
p09;0.08;0.585;0.607;0.3164;0.45112355
p09;0.09;0.703;0.811;0.5586;0.74439896
p09;0.19;0.824;0.856;0.5032;0.68507756
p09;0.03;0.772;0.811;0.4289;0.60178025
p09;0.22;0.753;0.821;0.5190;0.70377444
p09;0.24;0.836;0.874;0.6362;0.81803610
p09;0.16;0.685;0.740;0.5421;0.72964826
p09;0.27;0.957;0.975;0.6000;0.79957988
p09;0.16;0.853;0.869;0.6006;0.79729078
p09;-0.15;0.592;0.666;0.3645;0.52806232
p09;0.28;0.931;0.956;0.5869;0.79008260
p09;0.25;0.862;0.885;0.6108;0.80219221
p15;-0.33;0.243;0.309;0.2235;0.32429818
p15;0.08;0.599;0.740;0.3684;0.51727295
p15;-0.33;0.279;0.254;0.1927;0.27936407
p15;-0.31;0.283;0.312;0.2378;0.34080689
p15;0.05;0.529;0.569;0.3326;0.46810924
p15;-0.16;0.324;0.421;0.2662;0.38101743
p15;-0.28;0.270;0.267;0.2214;0.31696536
p28;0.54;0.648;0.594;0.7446;0.90457475
p28;0.67;0.695;0.781;0.7482;0.89886103
p28;0.57;0.886;0.937;0.6910;0.86221149
p28;0.69;0.894;0.932;0.7355;0.89195708
p28;0.53;0.841;0.915;0.6911;0.85833215
p28;0.62;0.945;0.968;0.6657;0.84564583
p28;0.71;0.929;0.951;0.7593;0.90499257
p28;0.73;0.915;0.978;0.7546;0.89435012
p28;0.60;0.916;0.947;0.6089;0.78890835
p28;0.73;0.993;0.988;0.7303;0.89277787
p28;0.72;0.986;0.976;0.7360;0.88679220
p28;0.58;0.757;0.880;0.6844;0.84181462
p28;0.45;0.821;0.901;0.7257;0.88329257
p28;0.80;0.986;0.988;0.7366;0.89554702
p28;0.05;0.292;0.514;0.7537;0.90596779
p28;0.48;0.900;0.946;0.6566;0.83525201
p28;0.69;0.917;0.962;0.7324;0.88380157
p28;0.39;0.802;0.884;0.6824;0.82473513
p15;0.38;0.961;0.913;0.5383;0.72747041
p15;0.55;1.000;0.943;0.6028;0.79487388
p15;0.39;0.987;0.940;0.5925;0.79345093
p15;0.50;0.830;0.777;0.4827;0.65322960
p15;-0.11;0.639;0.665;0.3491;0.50460065
p15;-0.30;0.329;0.417;0.2348;0.33846947
p15;-0.20;0.371;0.420;0.2668;0.38202756
p15;-0.07;0.544;0.598;0.3436;0.48944519
