cell;passage;Dhat;mode;type;age
WJ1;15;1,6898;Dlc;Db;young
WJ1;15;1,6632;Dlc;Db;young
WJ1;15;1,8544;Dlc;Db;young
WJ1;15;1,6496;Dlc;Db;young
WJ1;15;1,9816;Dlc;Db;young
WJ1;15;1,9286;Dlc;Db;young
WJ1;15;1,6288;Dlc;Db;young
WJ1;15;1,8028;Dlc;Db;young
WJ1;15;1,5968;Dlc;Db;young
WJ1;15;1,6309;Dlc;Db;young
WJ1;15;1,9005;Dlc;Db;young
WJ1;15;1,5619;Dlc;Db;young
WJ1;28;1,6601;Dlc;Db;middle
WJ1;28;1,8145;Dlc;Db;middle
WJ1;28;1,9003;Dlc;Db;middle
WJ1;28;1,6431;Dlc;Db;middle
WJ1;28;1,8013;Dlc;Db;middle
WJ1;9;1,8328;Dlc;Db;young
WJ1;9;1,9638;Dlc;Db;young
WJ1;9;1,8906;Dlc;Db;young
WJ1;9;1,8669;Dlc;Db;young
WJ1;9;1,8013;Dlc;Db;young
WJ1;9;1,9232;Dlc;Db;young
WJ1;9;1,9928;Dlc;Db;young
WJ1;9;1,8086;Dlc;Db;young
WJ1;9;1,9055;Dlc;Db;young
WJ1;9;1,8591;Dlc;Db;young
WJ1;9;1,9089;Dlc;Db;young
WJ1;9;1,8033;Dlc;Db;young
WJ1;9;1,6982;Dlc;Db;young
WJ1;9;1,6948;Dlc;Db;young
WJ1;9;1,9034;Dlc;Db;young
WJ1;9;1,9228;Dlc;Db;young
WJ1;9;1,9285;Dlc;Db;young
WJ1;9;1,9968;Dlc;Db;young
WJ1;9;1,9133;Dlc;Db;young
WJ1;28;1,6892;Dlc;Db;old
WJ1;28;1,9342;Dlc;Db;old
WJ1;28;1,9008;Dlc;Db;old
WJ1;28;1,9886;Dlc;Db;old
WJ1;28;1,9289;Dlc;Db;old
WJ1;28;1,9191;Dlc;Db;old
WJ1;28;1,9038;Dlc;Db;old
WJ1;28;1,9096;Dlc;Db;old
WJ1;28;1,9095;Dlc;Db;old
WJ1;28;1,9901;Dlc;Db;old
WJ1;28;1,9162;Dlc;Db;old
WJ1;28;1,8583;Dlc;Db;old
WJ1;28;1,9395;Dlc;Db;old
WJ1;28;1,9544;Dlc;Db;old
WJ1;15;1,9362;Dlc;Db;middle
WJ1;15;1,6619;Dlc;Db;middle
WJ1;15;1,6389;Dlc;Db;middle
WJ1;15;1,6604;Dlc;Db;middle
WJ1;15;1,6628;Dlc;Db;middle
WJ1;15;1,6528;Dlc;Db;middle
WJ1;15;1,611;Dlc;Db;middle
WJ1;15;1,9289;Dlc;Db;middle
WJ1;28;1,8156;Dlc;Db;old
WJ1;28;1,8402;Dlc;Db;old
WJ1;28;1,8248;Dlc;Db;old
WJ1;28;1,8939;Dlc;Db;old
WJ1;9;1,653;Dlc;Db;young
WJ1;9;1,8159;Dlc;Db;young
WJ1;9;1,6909;Dlc;Db;young
WJ1;9;1,9164;Dlc;Db;young
WJ1;9;1,8148;Dlc;Db;young
WJ1;9;1,9285;Dlc;Db;young
WJ1;9;1,83;Dlc;Db;young
WJ1;15;1,6982;Dlc;Db;middle
WJ1;15;1,9381;Dlc;Db;middle
WJ1;15;1,9961;Dlc;Db;middle
WJ1;15;1,9498;Dlc;Db;middle
WJ1;36;1,9594;Dlc;Db;old
WJ1;36;1,8856;Dlc;Db;old
WJ1;36;1,8288;Dlc;Db;old
WJ1;36;1,9109;Dlc;Db;old
WJ1;36;1,9406;Dlc;Db;old
WJ1;36;1,9428;Dlc;Db;old
WJ1;36;1,8863;Dlc;Db;old
WJ1;36;1,9348;Dlc;Db;old
WJ1;36;1,8496;Dlc;Db;old
WJ1;36;1,8284;Dlc;Db;old
WJ1;36;1,6695;Dlc;Db;old
WJ1;36;1,9492;Dlc;Db;old
WJ1;36;1,8115;Dlc;Db;old
WJ1;36;1,9051;Dlc;Db;old
WJ1;36;1,8936;Dlc;Db;old
WJ1;36;1,8808;Dlc;Db;old
WJ1;36;1,6284;Dlc;Db;old
WJ1;36;1,9301;Dlc;Db;old
WJ1;36;1,9996;Dlc;Db;old
WJ1;36;1,9494;Dlc;Db;old
