cell;passage;Area;Perim;Circ;AR;Round;Solidity
WJ1;9;3395.137;254.620;0.658;2.064;0.484;0.862
WJ1;9;4226.176;309.904;0.553;2.914;0.343;0.887
WJ1;9;2524.279;325.852;0.299;4.892;0.204;0.702
WJ1;9;4709.217;427.344;0.324;1.756;0.570;0.609
WJ1;9;2157.237;236.741;0.484;2.689;0.372;0.727
WJ1;9;5240.735;556.423;0.213;7.979;0.125;0.625
WJ1;9;3995.909;346.854;0.417;4.020;0.249;0.843
WJ1;9;4478.950;286.315;0.687;1.246;0.803;0.876
WJ1;9;2062.014;185.786;0.751;1.246;0.803;0.866
WJ1;9;3147.557;293.617;0.459;3.869;0.258;0.778
WJ1;9;6454.397;463.454;0.378;2.391;0.418;0.733
WJ1;9;5258.048;331.948;0.600;1.935;0.517;0.861
WJ1;9;3410.719;246.610;0.705;2.339;0.427;0.932
WJ1;9;4813.096;349.478;0.495;2.841;0.352;0.837
WJ1;9;6729.678;362.392;0.644;1.164;0.859;0.843
WJ1;9;6328.010;390.467;0.522;1.935;0.517;0.774
WJ1;9;2789.172;237.286;0.623;1.413;0.708;0.861
WJ1;9;7692.298;482.470;0.415;3.739;0.267;0.800
WJ1;9;4082.475;269.027;0.709;1.187;0.842;0.926
WJ1;9;7898.326;473.894;0.442;1.392;0.719;0.683
WJ1;9;2127.804;226.030;0.523;1.751;0.571;0.768
WJ1;9;4283.310;280.771;0.683;1.487;0.673;0.848
WJ1;9;2236.878;198.262;0.715;1.821;0.549;0.887
WJ1;9;7552.060;552.919;0.310;4.553;0.220;0.723
WJ1;9;3840.089;356.076;0.381;3.689;0.271;0.792
WJ1;9;8478.321;529.585;0.380;1.929;0.518;0.739
WJ1;9;1871.567;185.378;0.684;2.055;0.487;0.878
WJ1;9;2622.964;209.969;0.748;1.818;0.550;0.929
WJ1;9;3840.089;318.355;0.476;1.595;0.627;0.680
WJ1;9;5616.433;307.885;0.745;1.488;0.672;0.896
WJ1;9;4240.026;367.578;0.394;3.609;0.277;0.810
WJ1;9;2203.983;216.408;0.591;1.654;0.604;0.849
WJ1;9;2004.880;204.923;0.600;2.683;0.373;0.901
WJ1;9;8788.229;660.613;0.253;1.499;0.667;0.571
WJ1;9;2872.276;241.806;0.617;2.413;0.414;0.913
WJ1;9;4989.692;368.201;0.463;3.620;0.276;0.795
WJ1;9;6914.931;621.889;0.225;7.226;0.138;0.708
WJ1;9;3599.434;369.333;0.332;6.139;0.163;0.725
WJ1;9;2131.267;203.253;0.648;1.454;0.688;0.831
WJ1;9;2077.596;275.360;0.344;3.023;0.331;0.703
WJ1;9;2572.756;327.360;0.302;5.926;0.169;0.677
WJ1;9;3000.394;293.755;0.437;2.506;0.399;0.790
WJ1;9;1887.149;178.114;0.748;2.159;0.463;0.906
WJ1;9;6760.842;626.681;0.216;5.437;0.184;0.606
WJ1;9;3327.616;302.185;0.458;2.895;0.345;0.760
WJ1;9;8947.512;683.638;0.241;3.280;0.305;0.525
WJ1;9;2240.341;193.660;0.751;1.265;0.791;0.875
WJ1;9;1868.105;194.698;0.619;1.750;0.571;0.865
WJ1;9;2032.581;217.810;0.538;2.603;0.384;0.816
WJ1;9;2737.232;255.470;0.527;2.229;0.449;0.834
WJ1;9;6154.877;505.870;0.302;2.404;0.416;0.603
WJ1;9;7425.673;382.195;0.639;2.374;0.421;0.914
WJ1;9;5240.735;373.015;0.473;2.988;0.335;0.820
WJ1;9;1769.419;183.444;0.661;2.598;0.385;0.934
WJ1;9;6224.130;579.853;0.233;4.300;0.233;0.571
WJ1;9;5995.595;667.734;0.169;5.299;0.189;0.476
WJ1;9;4011.491;399.090;0.316;4.203;0.238;0.690
WJ1;9;3381.287;231.112;0.796;1.449;0.690;0.903
WJ1;9;8097.429;611.605;0.272;1.715;0.583;0.541
WJ1;9;3755.254;380.068;0.327;5.671;0.176;0.829
WJ1;9;4972.379;454.476;0.303;3.002;0.333;0.679
WJ1;9;4397.577;327.105;0.516;2.307;0.433;0.833
WJ1;9;12147.009;779.388;0.251;5.142;0.194;0.589
WJ1;9;6871.647;504.506;0.339;4.059;0.246;0.736
WJ1;9;4662.471;410.009;0.349;4.714;0.212;0.696
WJ1;9;3519.793;325.059;0.419;4.150;0.241;0.799
WJ1;9;3313.765;249.323;0.670;1.536;0.651;0.854
WJ1;9;5564.493;382.676;0.477;3.318;0.301;0.862
WJ1;9;2825.530;276.826;0.463;1.226;0.816;0.694
WJ1;9;5905.565;458.056;0.354;2.566;0.390;0.665
WJ1;9;4461.636;334.526;0.501;2.004;0.499;0.820
WJ1;9;13864.488;604.239;0.477;2.042;0.490;0.764
WJ1;9;4406.234;338.845;0.482;2.335;0.428;0.809
WJ1;9;3183.915;308.061;0.422;2.667;0.375;0.761
WJ1;9;7759.819;595.375;0.275;3.583;0.279;0.670
WJ1;9;4428.741;313.599;0.566;1.726;0.579;0.809
WJ1;9;4203.668;428.155;0.288;1.498;0.667;0.528
WJ1;9;3621.942;307.585;0.481;2.523;0.396;0.824
WJ1;9;5254.585;471.849;0.297;3.523;0.284;0.591
WJ1;9;3395.137;286.626;0.519;1.157;0.864;0.774
WJ1;9;6681.201;511.504;0.321;3.123;0.320;0.678
WJ1;9;6092.549;398.994;0.481;2.279;0.439;0.783
WJ1;9;3812.388;353.178;0.384;1.828;0.547;0.688
WJ1;9;4719.605;425.755;0.327;1.510;0.662;0.591
WJ1;9;3682.538;369.128;0.340;4.145;0.241;0.784
WJ1;9;3396.869;489.486;0.178;9.620;0.104;0.749
WJ1;9;4061.699;470.275;0.231;4.573;0.219;0.662
WJ1;9;4627.844;462.533;0.272;3.922;0.255;0.533
WJ1;9;3363.973;336.612;0.373;2.113;0.473;0.625
WJ1;9;4082.475;402.132;0.317;4.797;0.208;0.792
WJ1;9;4866.768;442.312;0.313;3.657;0.273;0.734
WJ1;9;11128.987;642.716;0.339;3.256;0.307;0.772
WJ1;9;6437.084;483.148;0.347;2.185;0.458;0.695
WJ1;9;5839.775;567.021;0.228;2.699;0.370;0.562
WJ1;9;8710.319;411.324;0.647;1.261;0.793;0.858
WJ1;9;4058.237;307.863;0.538;2.523;0.396;0.825
WJ1;9;5202.646;382.035;0.448;1.366;0.732;0.719
WJ1;9;5971.356;396.603;0.477;1.494;0.669;0.738
WJ1;9;5891.715;421.801;0.416;1.983;0.504;0.710
WJ1;9;2484.458;294.002;0.361;1.986;0.504;0.619
WJ1;9;29385.858;952.589;0.407;3.507;0.285;0.747
WJ1;9;26996.190;823.498;0.500;3.165;0.316;0.795
WJ1;15;10280.635;875.360;0.169;6.413;0.156;0.565
WJ1;15;6838.752;578.731;0.257;6.839;0.146;0.781
WJ1;15;5389.629;488.187;0.284;5.676;0.176;0.682
WJ1;15;2541.592;253.295;0.498;3.426;0.292;0.859
WJ1;15;3273.944;317.718;0.408;4.236;0.236;0.860
WJ1;15;3564.808;424.418;0.249;5.215;0.192;0.647
WJ1;15;3776.030;530.429;0.169;9.739;0.103;0.585
WJ1;15;1814.433;209.272;0.521;3.387;0.295;0.901
WJ1;15;3459.197;280.567;0.552;2.408;0.415;0.881
WJ1;15;2880.933;336.624;0.319;4.992;0.200;0.726
WJ1;15;3171.796;326.802;0.373;4.763;0.210;0.824
WJ1;15;3795.075;268.491;0.662;1.556;0.643;0.868
WJ1;15;6075.236;453.515;0.371;2.144;0.466;0.789
WJ1;15;3890.298;343.361;0.415;3.960;0.253;0.787
WJ1;15;3545.763;272.029;0.602;2.165;0.462;0.852
WJ1;15;5084.915;403.290;0.393;1.640;0.610;0.690
WJ1;15;4871.962;478.982;0.267;1.698;0.589;0.563
WJ1;15;3937.044;306.718;0.526;1.255;0.797;0.774
WJ1;15;4056.505;320.674;0.496;1.342;0.745;0.778
WJ1;15;2541.592;321.694;0.309;6.046;0.165;0.687
WJ1;15;4240.026;367.578;0.394;3.609;0.277;0.810
WJ1;15;2203.983;216.408;0.591;1.654;0.604;0.849
WJ1;15;2004.880;204.923;0.600;2.683;0.373;0.901
WJ1;15;8788.229;660.613;0.253;1.499;0.667;0.571
WJ1;15;2872.276;241.806;0.617;2.413;0.414;0.913
WJ1;15;4989.692;368.201;0.463;3.620;0.276;0.795
WJ1;15;6914.931;621.889;0.225;7.226;0.138;0.708
WJ1;15;3599.434;369.333;0.332;6.139;0.163;0.725
WJ1;15;2131.267;203.253;0.648;1.454;0.688;0.831
WJ1;15;2077.596;275.360;0.344;3.023;0.331;0.703
WJ1;15;2572.756;327.360;0.302;5.926;0.169;0.677
WJ1;15;3000.394;293.755;0.437;2.506;0.399;0.790
WJ1;15;1887.149;178.114;0.748;2.159;0.463;0.906
WJ1;15;6760.842;626.681;0.216;5.437;0.184;0.606
WJ1;15;3327.616;302.185;0.458;2.895;0.345;0.760
WJ1;15;8947.512;683.638;0.241;3.280;0.305;0.525
WJ1;15;2240.341;193.660;0.751;1.265;0.791;0.875
WJ1;15;1868.105;194.698;0.619;1.750;0.571;0.865
WJ1;15;2032.581;217.810;0.538;2.603;0.384;0.816
WJ1;15;2737.232;255.470;0.527;2.229;0.449;0.834
WJ1;15;6154.877;505.870;0.302;2.404;0.416;0.603
WJ1;15;7425.673;382.195;0.639;2.374;0.421;0.914
WJ1;15;5240.735;373.015;0.473;2.988;0.335;0.820
WJ1;15;1769.419;183.444;0.661;2.598;0.385;0.934
WJ1;15;6224.130;579.853;0.233;4.300;0.233;0.571
WJ1;15;5995.595;667.734;0.169;5.299;0.189;0.476
WJ1;15;4011.491;399.090;0.316;4.203;0.238;0.690
WJ1;15;3381.287;231.112;0.796;1.449;0.690;0.903
WJ1;15;8097.429;611.605;0.272;1.715;0.583;0.541
WJ1;15;3755.254;380.068;0.327;5.671;0.176;0.829
WJ1;15;4972.379;454.476;0.303;3.002;0.333;0.679
WJ1;15;4397.577;327.105;0.516;2.307;0.433;0.833
WJ1;15;12147.009;779.388;0.251;5.142;0.194;0.589
WJ1;15;6871.647;504.506;0.339;4.059;0.246;0.736
WJ1;15;4662.471;410.009;0.349;4.714;0.212;0.696
WJ1;15;3519.793;325.059;0.419;4.150;0.241;0.799
WJ1;15;3313.765;249.323;0.670;1.536;0.651;0.854
WJ1;15;5564.493;382.676;0.477;3.318;0.301;0.862
WJ1;15;2825.530;276.826;0.463;1.226;0.816;0.694
WJ1;15;5905.565;458.056;0.354;2.566;0.390;0.665
WJ1;15;4461.636;334.526;0.501;2.004;0.499;0.820
WJ1;15;13864.488;604.239;0.477;2.042;0.490;0.764
WJ1;15;4406.234;338.845;0.482;2.335;0.428;0.809
WJ1;15;3183.915;308.061;0.422;2.667;0.375;0.761
WJ1;15;7759.819;595.375;0.275;3.583;0.279;0.670
WJ1;15;4428.741;313.599;0.566;1.726;0.579;0.809
WJ1;15;4203.668;428.155;0.288;1.498;0.667;0.528
WJ1;15;3621.942;307.585;0.481;2.523;0.396;0.824
WJ1;15;5254.585;471.849;0.297;3.523;0.284;0.591
